family_name,days_total,pos_days,zero_days,zero_rate,pos_rate,qty_total,qty_avg_all_days,qty_avg_pos_days,qty_std_pos_days,years_count,active_months,adi,cv2_pos,peak_doy,season_start_p25,season_start_p50,season_start_p75,demand_class,data_quality_class,seasonality_class
dendranthemum,6273,21,6252,0.9967,0.0033,139.0,0.0222,6.619,8.1699,18,3,37.9,1.5235,301,146.5,278.0,288.5,lumpy,medium,very_narrow
bietole,6273,22,6251,0.9965,0.0035,51.0,0.0081,2.3182,1.8615,18,4,5.0952,0.6448,72,,,,lumpy,medium,seasonal
cotyledon,6273,23,6250,0.9963,0.0037,45.0,0.0072,1.9565,1.3973,18,3,11.5455,0.5101,77,,,,lumpy,medium,very_narrow
scindapsus white,6273,28,6245,0.9955,0.0045,47.0,0.0075,1.6786,1.3068,18,5,59.2593,0.6061,103,91.0,101.0,111.0,lumpy,medium,seasonal
isotoma,6273,30,6243,0.9952,0.0048,46.0,0.0073,1.5333,1.6761,18,6,132.7931,1.1948,198,113.0,197.0,226.0,lumpy,medium,seasonal
jacobinia,6273,30,6243,0.9952,0.0048,79.0,0.0126,2.6333,2.1413,18,3,2.0345,0.6612,50,,,,lumpy,medium,very_narrow
pachystachys,6273,32,6241,0.9949,0.0051,67.0,0.0107,2.0938,2.775,18,6,69.4194,1.7566,251,173.0,243.0,244.0,lumpy,medium,seasonal
syngonanthus,6273,37,6236,0.9941,0.0059,65.0,0.0104,1.7568,1.2997,18,4,2.5278,0.5473,290,,,,lumpy,medium,seasonal
muschio,6273,37,6236,0.9941,0.0059,66.0,0.0105,1.7838,1.2939,18,4,60.5,0.5262,344,268.2,315.5,334.2,lumpy,medium,seasonal
graminacee cortaderia,6273,40,6233,0.9936,0.0064,60.0,0.0096,1.5,1.086,18,9,141.7179,0.5242,84,39.8,161.5,244.0,lumpy,medium,broad_seasonal
graminacee miscanthus,6273,41,6232,0.9935,0.0065,66.0,0.0105,1.6098,1.4297,18,8,148.2,0.7888,133,135.0,164.0,252.5,lumpy,medium,broad_seasonal
cistus,6273,43,6230,0.9931,0.0069,73.0,0.0116,1.6977,1.2058,18,6,61.7381,0.5045,86,88.0,95.0,131.0,lumpy,medium,seasonal
phlomis,6273,43,6230,0.9931,0.0069,74.0,0.0118,1.7209,1.297,18,10,122.4524,0.568,117,49.5,58.0,88.5,lumpy,medium,all_year
protea,6273,44,6229,0.993,0.007,78.0,0.0124,1.7727,1.412,18,4,69.093,0.6344,89,71.0,87.5,103.5,lumpy,medium,seasonal
felicia,6273,46,6227,0.9927,0.0073,104.0,0.0166,2.2609,1.831,18,6,82.0444,0.6559,84,92.5,111.0,118.5,lumpy,medium,seasonal
acalypha,6273,48,6225,0.9923,0.0077,72.0,0.0115,1.5,1.0719,18,9,99.9149,0.5106,120,82.0,118.0,128.5,lumpy,medium,broad_seasonal
gomphrena,6273,50,6223,0.992,0.008,132.0,0.021,2.64,2.4391,18,4,9.2653,0.8536,202,155.2,160.5,165.8,lumpy,medium,seasonal
phlox,6273,50,6223,0.992,0.008,139.0,0.0222,2.78,3.177,18,5,111.6327,1.306,100,41.0,54.0,79.5,lumpy,medium,seasonal
carnivora drosera,6273,52,6221,0.9917,0.0083,92.0,0.0147,1.7692,1.3808,18,6,64.6863,0.6091,142,44.5,71.0,100.2,lumpy,medium,seasonal
calceolaria,6273,54,6219,0.9914,0.0086,141.0,0.0225,2.6111,2.6237,18,4,20.7547,1.0096,65,30.0,43.0,50.5,lumpy,medium,seasonal
pimpinella,6273,55,6218,0.9912,0.0088,78.0,0.0124,1.4182,1.1497,18,10,87.0556,0.6572,74,54.5,67.5,79.0,lumpy,medium,all_year
chamaerops,6273,55,6217,0.9911,0.0088,73.0,0.0116,1.3455,0.9854,18,10,105.6111,0.5364,33,34.8,67.5,93.2,lumpy,medium,all_year
potentilla,6273,56,6217,0.9911,0.0089,85.0,0.0136,1.5179,1.321,18,10,112.7091,0.7575,90,93.0,125.5,222.0,lumpy,medium,all_year
bouvardia,6273,56,6217,0.9911,0.0089,109.0,0.0174,1.9464,1.5424,18,7,38.3455,0.6279,86,76.8,103.5,150.5,lumpy,medium,broad_seasonal
coreopsis,6273,57,6216,0.9909,0.0091,105.0,0.0167,1.8421,1.449,18,4,91.5536,0.6187,159,139.0,152.0,155.0,lumpy,medium,seasonal
gaillardia,6273,58,6215,0.9908,0.0092,105.0,0.0167,1.8103,1.5498,18,4,90.9474,0.7329,153,123.0,152.0,153.5,lumpy,medium,seasonal
perovskia,6273,58,6215,0.9908,0.0092,117.0,0.0187,2.0172,2.0562,18,10,96.2105,1.039,141,99.8,137.5,237.5,lumpy,medium,all_year
diascia,6273,59,6214,0.9906,0.0094,110.0,0.0175,1.8644,1.3059,18,7,63.3621,0.4906,76,92.0,95.0,97.0,lumpy,medium,broad_seasonal
geraneo francesino,6273,59,6214,0.9906,0.0094,799.0,0.1274,13.5424,14.6597,18,4,13.6552,1.1718,77,93.5,113.0,117.0,lumpy,medium,seasonal
